employeeId,firstName,lastName,birthday,address,phoneNumber,email,status,position,immediateSupervisor,basicSalary,riceSubsidy,phoneAllowance,clothingAllowance,grossSemiMonthlyRate,hourlyRate,sssNumber,philhealthNumber,tinNumber,pagibigNumber,username,password,role
10014,Leila,Martinez,1970-07-11,"37/46 Kulas Roads, Maragondon 0962 Quirino",639771107490,leila.martinez@motorph.com,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,143,2720909964,515741057496,275792513000,101205445886,leila.m,1234,Employee
10015,Fredrick,Romualdez,1985-03-10,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",639230790090,fredrick.romualdez@motorph.com,Regular,Account Manager,"Lim, Antonio",53500,1500,1000,1000,26750,318,2687683741,308366860059,598065761000,223057707853,frederick.r,1234,Employee
10016,Christian,Mata,1987-10-21,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",639837767440,christian.mata@motorph.com,Regular,Account Team Leader,"Romualdez, Fredrick",42975,1500,800,800,21488,256,4929593126,824187961962,103100522000,631052853464,christian.m,1234,Employee
10017,Selena,De Leon,1975-02-20,"89A Armstrong Trace, Compostela 7874 Maguindanao",639754321390,selena.deleon@motorph.com,Regular,Account Team Leader,"Romualdez, Fredrick",41850,1500,800,800,20925,249,2720902088,587272469938,482259498000,719007608464,selena.dl,1234,Employee
10018,Allison,San Jose,1986-06-24,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",639790751290,allison.sanjose@motorph.com,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,134,4532513830,745148459521,121203336000,114901859343,allison.sj,1234,Employee
10019,Cydney,Rosario,1996-10-06,"93A/21 Berge Points, Tapaz 2180 Quezon",639688199120,cydney.rosario@motorph.com,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,134,4916299002,579253435499,122244511000,265104358643,cydney.r,1234,Employee
10020,Mark,Bautista,1991-02-12,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",639837253480,mark.bautista@motorph.com,Regular,Account Rank and File,"Mata, Christian",23250,1500,500,500,11625,138,4916473425,399665157135,273970941000,260054585575,mark.b,1234,Employee
10021,Darlene,Lazaro,1985-11-25,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",639407215580,darlene.lazaro@motorph.com,Probationary,Account Rank and File,"Mata, Christian",23250,1500,500,500,11625,138,4556171682,606386917510,354650951000,104907708845,darlene.l,1234,Employee
10022,Kolby,Delos Santos,1980-02-26,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",639394430330,kolby.delossantos@motorph.com,Probationary,Account Rank and File,"Mata, Christian",24000,1500,500,500,12000,143,5201095706,357451271274,187500345000,113017988667,kolby.ds,1234,Employee
10023,Vella,Santos,1983-12-31,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",639558792690,vella.santos@motorph.com,Probationary,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,134,5298835243,548670482885,101558994000,360028104576,vella.s,1234,Employee
10024,Tomas,Del Rosario,1978-12-18,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",639825509890,tomas.delrosario@motorph.com,Probationary,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,134,4558663316,953901539995,560735732000,913108649964,tomas.dr,1234,Employee
10025,Jacklyn,Tolentino,1984-05-19,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",639757573660,jacklyn.tolentino@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",24000,1500,500,500,12000,143,4716927930,753800654114,841177857000,210546661243,jacklyn.t,1234,Employee
10026,Percival,Gutierrez,1970-12-18,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",639128998760,percival.gutierrez@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",24750,1500,500,500,12375,147,4095046578,797639382265,502995671000,210897095686,percival.g,1234,Employee
10027,Garfield,Manalaysay,1986-08-28,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",639486281360,garfield.manalaysay@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",24750,1500,500,500,12375,147,4532981664,810909286264,336676445000,211274476563,garfield.m,1234,Employee
10028,Lizeth,Villegas,1981-12-12,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",639323722150,lizeth.villegas@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",24000,1500,500,500,12000,143,4024007194,934389652994,210395397000,122238077997,lizeth.v,1234,Employee
10029,Carol,Ramos,1978-08-20,"72/70 Stamm Spurs, Bustos 4550 Iloilo",639507003890,carol.ramos@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,134,6011522064,351830469744,395032717000,212141893454,carol.r,1234,Employee
10030,Emelia,Maceda,1973-04-14,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",639733580410,emelia.maceda@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,134,5413310050,465087894112,215973013000,515012579765,emelia.m,1234,Employee
10031,Delia,Aguilar,1989-01-27,"95 Cremin Junction, Surallah 2809 Cotabato",639297054390,delia.aguilar@motorph.com,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,134,5218592531,136451303068,599312588000,110018813465,delia.a,1234,Employee
10032,John Rafael,Castro,1992-02-09,"Hi-way, Yati, Liloan Cebu",639324249550,johnrafael.castro@motorph.com,Regular,Sales & Marketing,"Reyes, Isabella",52670,1500,1000,1000,26335,314,2671451334,601644902402,404768309000,697764069311,johnrafael.c,1234,Employee
10033,Carlos Ian,Martinez,1990-11-16,"Bulala, Camalaniugan",639788542080,carlosian.martinez@motorph.com,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670,1500,1000,1000,26335,314,1150629727,380685387212,256436296000,993372963726,carlosian.m,1234,Employee
10034,Beatriz,Santos,1990-08-07,"Agapita Building, Metro Manila",639266395110,beatriz.santos@motorph.com,Regular,Customer Service and Relations,"Reyes, Isabella",52670,1500,1000,1000,26335,314,2029875015,918460050077,911529713000,874042259378,beatriz.s,1234,Employee
10035,Rosephil,Muros,1991-01-05,"Makati City, Metro Manila",639171111111,lr.rmuros@mmdc.mcl.edu.ph,Permanent,President,"N/A",200000.0,0.0,0.0,0.0,100000.0,1000.0,0000,0000,0000,0000,rosephil.m,1234,Employee
